NR_CONVENIO;NR_PARCELA_CRONO_DESEMBOLSO;MES_CRONO_DESEMBOLSO;ANO_CRONO_DESEMBOLSO;TIPO_RESP_CRONO_DESEMBOLSO;VALOR_PARCELA_CRONO_DESEMBOLSO
832384;3;1;2017;Convenente;16763,6
837836;1;7;2018;Concedente;234329,08
837836;2;8;2018;Concedente;243803,27
837836;3;9;2018;Convenente;176921,51
778451;1;3;2017;Concedente;368734,42
778451;2;3;2017;Convenente;112995,23
765903;1;9;2017;Concedente;975000
765903;2;9;2017;Convenente;279181,93
793954;1;4;2014;Convenente;25000
793954;2;4;2014;Concedente;975000
783341;1;9;2013;Concedente;784000
783341;2;11;2013;Concedente;470400
783341;3;1;2014;Concedente;313600
783341;4;9;2013;Convenente;16000
783341;5;11;2013;Convenente;9600
783341;6;1;2014;Convenente;6400
764978;1;1;2014;Concedente;2992050
764978;2;4;2014;Convenente;332450
764978;3;8;2025;Rendimento de Aplicação;4324600
778007;1;5;2014;Concedente;11640000
778007;2;5;2014;Convenente;5786137,43
835984;1;12;2016;Concedente;700000
839298;1;12;2016;Concedente;645815
839298;2;12;2016;Convenente;323909,15
780312;1;10;2013;Concedente;828100
780312;2;10;2013;Convenente;170864,19
792723;1;6;2014;Concedente;282376,6
792723;2;6;2014;Convenente;14861,93
845272;1;6;2018;Concedente;49170
845272;2;7;2018;Concedente;196680
845272;3;6;2018;Convenente;830
845272;4;7;2018;Convenente;3320
786761;1;7;2015;Concedente;500000
786761;2;9;2015;Concedente;300000
786761;3;11;2015;Concedente;200000
786761;4;7;2015;Convenente;37206,27
786761;5;9;2015;Convenente;22323,76
786761;6;11;2015;Convenente;417838,15
778543;1;1;2020;Concedente;197441,15
778543;2;7;2021;Concedente;601023,54
778543;3;9;2021;Concedente;901535,31
778543;4;7;2021;Convenente;16288,06
778543;5;8;2021;Convenente;32576,11
778543;6;9;2021;Convenente;32576,11
782141;1;10;2013;Concedente;912000
782141;2;8;2013;Convenente;300926,26
781868;1;9;2024;Concedente;4449100
781868;2;1;2026;Convenente;185379,17
790612;1;12;2013;Concedente;243750
790612;2;12;2013;Convenente;6250
843792;1;2;2022;Concedente;438750
843792;2;2;2022;Convenente;1172,34
781089;1;1;2013;Concedente;243750
781089;2;2;2013;Concedente;146250
781089;3;3;2013;Concedente;97500
781089;4;1;2013;Convenente;40219,94
781089;5;2;2013;Convenente;24131,96
781089;6;3;2013;Convenente;16087,98
786926;1;12;2013;Concedente;487500
786926;2;6;2015;Convenente;163626,87
787681;1;4;2014;Convenente;3776648,07
787681;2;4;2014;Concedente;10261010,4
787681;3;5;2021;Convenente;3923992,82
787681;4;10;2021;Convenente;271781,06
772448;1;12;2012;Concedente;2400000
772448;2;12;2012;Convenente;575621,29
788294;1;12;2022;Convenente;20312,5
788294;2;12;2022;Concedente;487500
789790;1;4;2014;Concedente;1462500
789790;2;8;2014;Concedente;877500
789790;3;12;2014;Concedente;585000
